specialty,category,name,cpt,id,description,special_needs
CV,Lymphatic,Lymph Node Biopsy,38500,VASC021,Biopsy of axillary lymph node,Requires fine dissectors and suction
CV,Lymphatic,Lymphatic Mapping,38792,VASC022,Sentinel lymph node mapping for melanoma,Requires radioactive tracer and gamma probe
CV,Lymphatic,Lymphedema Debulking,38999,VASC023,"Debulking surgery for chronic lymphedema, leg",Requires liposuction equipment and compression
CV,Lymphatic,Lymphatic Embolization,37244,VASC024,Embolization of lymphatic leak,Requires cath lab and embolization agents
CV,Lymphatic,Lymphocele Drainage,38308,VASC025,Drainage of pelvic lymphocele,Requires ultrasound and drainage catheter
CV,Lymphatic,Lymphatic Reconstruction,38999,VASC026,Microsurgical lymphatic reconstruction,Requires microsurgery and supermicrosurgery tools
CARD,Lung,Lobectomy,32480,THOR001,Right upper lobectomy for lung carcinoma,Requires thoracoscopy equipment and chest tubes
CARD,Lung,Pneumonectomy,32440,THOR002,Left pneumonectomy for lung cancer,Requires double-lumen tube and thoracotomy tray
CARD,Lung,Wedge Resection,32505,THOR003,"Thoracoscopic wedge resection, right lung, for metastasis",Requires VATS equipment and staplers
CARD,Lung,Lung Biopsy,32405,THOR004,"Percutaneous lung biopsy for nodule, left lung",Requires CT guidance and biopsy needle
CARD,Lung,Pleurodesis,32560,THOR005,Chemical pleurodesis for recurrent pleural effusion,Requires chest tube and sclerosing agent
CARD,Lung,Decortication,32220,THOR006,"Pulmonary decortication for empyema, right lung",Requires thoracotomy tray and suction
CARD,Lung,Lung Volume Reduction,32491,THOR007,"Lung volume reduction surgery for COPD, bilateral",Requires VATS equipment and staplers
CARD,Lung,Bronchoscopy,31622,THOR008,Diagnostic bronchoscopy for airway obstruction,Requires flexible bronchoscope and biopsy forceps
CARD,Lung,Thoracentesis,32555,THOR009,"Thoracentesis for pleural effusion, left side",Requires ultrasound and drainage catheter
CARD,Lung,Lung Transplant,32851,THOR010,"Single lung transplant, right side",Requires transplant team and CViopulmonary bypass
CARD,Lung,Segmentectomy,32484,THOR011,"Thoracoscopic segmentectomy, left lower lobe",Requires VATS equipment and chest tubes
CARD,Lung,Pleural Biopsy,32604,THOR012,Thoracoscopic pleural biopsy for mesothelioma,Requires VATS equipment and biopsy forceps
CARD,Esophagus,Esophagectomy,43107,THOR013,Transhiatal esophagectomy for esophageal cancer,Requires esophageal staplers and retractors
CARD,Esophagus,Nissen Fundoplication,43327,THOR014,Thoracoscopic Nissen fundoplication for GERD,Requires VATS equipment and esophageal bougie
CARD,Esophagus,Esophageal Myotomy,43450,THOR015,Heller myotomy for achalasia,Requires thoracoscopy and myotomy instruments
CARD,Esophagus,Esophageal Stenting,43212,THOR016,Esophageal stent placement for obstruction,Requires endoscope and stent kit
CARD,Esophagus,Esophageal Diverticulectomy,43130,THOR017,Thoracoscopic diverticulectomy for Zenker’s diverticulum,Requires VATS equipment and staplers
CARD,Esophagus,Esophagoscopy,43200,THOR018,Diagnostic esophagoscopy for dysphagia,Requires flexible endoscope
CARD,Mediastinum,Thymectomy,60521,THOR019,Thoracoscopic thymectomy for myasthenia gravis,Requires VATS equipment and retractors
CARD,Mediastinum,Mediastinoscopy,39401,THOR020,Mediastinoscopy for lymph node biopsy,Requires mediastinoscope and biopsy forceps
CARD,Mediastinum,PeriCVial Window,33025,THOR021,Subxiphoid periCVial window for effusion,Requires periCVial instruments and suction
CARD,Mediastinum,Mediastinal Tumor Resection,39220,THOR022,Thoracoscopic resection of mediastinal mass,Requires VATS equipment and retractors
CARD,Mediastinum,Diaphragmatic Hernia Repair,39540,THOR023,Thoracoscopic repair of diaphragmatic hernia,Requires VATS equipment and mesh
CARD,Mediastinum,Chest Wall Reconstruction,32800,THOR024,Chest wall reconstruction for tumor resection,Requires reconstructive mesh and CARD tray
POD,Forefoot,Bunionectomy,28296,POD001,"Bunionectomy with distal osteotomy, right foot",Requires fluoroscopy and bone cutting tools
POD,Forefoot,Hammertoe Correction,28285,POD002,"Hammertoe correction, second toe, left foot",Requires K-wires and small joint instruments
POD,Forefoot,Metatarsal Osteotomy,28306,POD003,"Metatarsal osteotomy for deformity, right foot",Requires fluoroscopy and bone screws
POD,Forefoot,Toe Amputation,28825,POD004,"Amputation of third toe, left foot, for gangrene",Requires amputation tray and sutures
POD,Forefoot,Neuroma Excision,28080,POD005,"Excision of Morton’s neuroma, right foot",Requires fine dissectors and retractors
POD,Forefoot,Cheilectomy,28289,POD006,"Cheilectomy for hallux rigidus, left foot",Requires bone cutting tools and fluoroscopy
POD,Forefoot,Sesamoidectomy,28315,POD007,"Sesamoidectomy for sesamoiditis, right foot",Requires fine dissectors and fluoroscopy
POD,Forefoot,Plantar Plate Repair,28308,POD008,"Plantar plate repair, second toe, left foot",Requires suture anchors and small joint instruments
POD,Midfoot,Tarsometatarsal Fusion,28740,POD009,"Tarsometatarsal fusion for arthritis, right foot",Requires bone screws and fluoroscopy
POD,Midfoot,Midfoot Osteotomy,28304,POD010,"Midfoot osteotomy for flatfoot, left foot",Requires bone cutting tools and plates
POD,Midfoot,Lisfranc Repair,28615,POD011,"Open reduction internal fixation of Lisfranc injury, right foot",Requires fluoroscopy and screws
POD,Midfoot,Navicular Fracture Fixation,28485,POD012,"Fixation of navicular fracture, left foot",Requires fluoroscopy and bone screws
POD,Hindfoot,Achilles Tendon Repair,27650,POD013,"Open repair of Achilles tendon rupture, right foot",Requires tendon repair kit and sutures
POD,Hindfoot,Ankle Arthroscopy,29891,POD014,"Ankle arthroscopy for impingement, left foot",Requires arthroscopy tower and shaver
POD,Hindfoot,Subtalar Fusion,28725,POD015,"Subtalar joint fusion for arthritis, right foot",Requires fluoroscopy and bone screws
POD,Hindfoot,Calcaneal Osteotomy,28300,POD016,"Calcaneal osteotomy for flatfoot, left foot",Requires bone cutting tools and fluoroscopy
POD,Hindfoot,Ankle Ligament Repair,27695,POD017,"Lateral ankle ligament repair, right foot",Requires suture anchors and retractors
POD,Hindfoot,Triple Arthrodesis,28715,POD018,"Triple arthrodesis for hindfoot deformity, left foot",Requires fluoroscopy and bone screws
POD,Soft Tissue,Plantar Fasciotomy,28008,POD019,"Plantar fasciotomy for heel pain, right foot",Requires fine dissectors and retractors
POD,Soft Tissue,Tendon Lengthening,27687,POD020,"Gastrocnemius lengthening for equinus, left foot",Requires tendon instruments and sutures
POD,Soft Tissue,Debridement,11043,POD021,"Debridement of diabetic foot ulcer, right foot",Requires debridement tray and irrigation
POD,Soft Tissue,Skin Graft,15050,POD022,"Split-thickness skin graft for foot wound, left foot",Requires dermatome and graft mesher
POD,Soft Tissue,Tendon Transfer,27690,POD023,"Tendon transfer for drop foot, right foot",Requires tendon repair kit and sutures
POD,Soft Tissue,Abscess Drainage,10061,POD024,"Incision and drainage of foot abscess, left foot",Requires drainage kit and suction
PLAS,Reconstructive,Skin Flap Reconstruction,15734,PLAST001,Local flap reconstruction for facial defect,Requires microsurgery tools and fine sutures
PLAS,Reconstructive,Free Flap Reconstruction,15756,PLAST002,"Free flap reconstruction for breast, DIEP flap",Requires microsurgery and Doppler
PLAS,Reconstructive,Tissue Expander Placement,19357,PLAST003,Tissue expander placement for breast reconstruction,Requires tissue expander and port
PLAS,Reconstructive,Scar Revision,13101,PLAST004,"Scar revision for hypertrophic scar, arm",Requires fine dissectors and sutures
PLAS,Reconstructive,Burn Reconstruction,15002,PLAST005,"Burn scar reconstruction with skin graft, leg",Requires dermatome and graft mesher
PLAS,Reconstructive,Mohs Reconstruction,14060,PLAST006,"Local flap closure for Mohs defect, nose",Requires microsurgery and fine sutures
PLAS,Reconstructive,Hand Reconstruction,26546,PLAST007,Reconstruction of hand defect with flap,Requires microsurgery and hand instruments
PLAS,Reconstructive,Pressure Ulcer Repair,15920,PLAST008,Flap closure of sacral pressure ulcer,Requires flap instruments and drains
PLAS,Cosmetic,Rhinoplasty,30410,PLAST009,Cosmetic rhinoplasty for nasal deformity,Requires nasal osteotomes and sutures
PLAS,Cosmetic,Facelift,15824,PLAST010,Rhytidectomy for facial rejuvenation,Requires fine dissectors and suction
PLAS,Cosmetic,Blepharoplasty,15822,PLAST011,"Upper eyelid blepharoplasty, bilateral",Requires fine scissors and cautery
PLAS,Cosmetic,Abdominoplasty,15847,PLAST012,Abdominoplasty for excess abdominal skin,Requires abdominal retractors and drains
PLAS,Cosmetic,Liposuction,15877,PLAST013,Liposuction of abdomen and flanks,Requires liposuction cannula and suction
PLAS,Cosmetic,Breast Augmentation,19325,PLAST014,Breast augmentation with silicone implants,Requires breast implants and sizers
PLAS,Cosmetic,Mastopexy,19316,PLAST015,"Breast lift for ptosis, bilateral",Requires breast retractors and sutures
PLAS,Cosmetic,Otoplasty,69300,PLAST016,"Otoplasty for prominent ears, bilateral",Requires fine sutures and head dressing
PLAS,Cosmetic,Brachioplasty,15836,PLAST017,Brachioplasty for excess arm skin,Requires skin resection tools and drains
PLAS,Cosmetic,Thigh Lift,15832,PLAST018,"Thigh lift for excess skin, bilateral",Requires skin resection tools and compression
PLAS,Cosmetic,Brow Lift,15824,PLAST019,Endoscopic brow lift for forehead rejuvenation,Requires endoscope and fixation devices
PLAS,Cosmetic,Chin Augmentation,21120,PLAST020,Chin augmentation with implant,Requires chin implant and fine dissectors
PLAS,Craniofacial,Cleft Lip Repair,40700,PLAST021,Unilateral cleft lip repair in infant,Requires microsurgery tools and pediatric anesthesia
PLAS,Craniofacial,Cleft Palate Repair,42200,PLAST022,Repair of cleft palate in pediatric patient,Requires microsurgery tools and pediatric anesthesia
PLAS,Craniofacial,Craniosynostosis Repair,61550,PLAST023,Cranial vault remodeling for craniosynostosis,Requires craniofacial instruments and neuromonitoring
PLAS,Craniofacial,Facial Fracture Repair,21345,PLAST024,Open reduction of mandibular fracture,Requires plating system and maxillofacial tray
